purchase_day_of_week,purchase_hour,is_weekend_order,estimated_delivery_days,customer_state,customer_city,seller_state,seller_city,seller_customer_same_state,seller_customer_same_city,product_category_name,product_weight_g,product_weight_kg,total_product_weight_g,total_product_weight_kg,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,total_product_volume_cm3,product_weight_bucket,freight_value,freight_value_bucket,price,item_count,sla_breached
4,16,0,23.298171296296296,RJ,rio de janeiro,PR,curitiba,0,0,agro_industria_e_comercio,2650.0,2.65,2650.0,2.65,30.0,30.0,20.0,18000.0,18000.0,1-5kg,24.65,15-30,397.0,1,0
5,18,1,32.21432870370371,MG,ituiutaba,PR,curitiba,0,0,moveis_decoracao,750.0,0.75,750.0,0.75,69.0,11.0,11.0,8349.0,8349.0,500g-1kg,23.35,15-30,59.9,1,0
0,15,0,20.354363425925925,GO,goiania,SP,sorocaba,0,0,esporte_lazer,180.0,0.18,540.0,0.54,17.0,11.0,14.0,2618.0,7854.0,0-500g,45.3,30-60,63.99,3,0
0,13,0,21.424270833333335,PR,pinhais,SP,sao paulo,0,0,telefonia,350.0,0.35,350.0,0.35,19.0,4.0,11.0,836.0,836.0,0-500g,14.1,0-15,16.5,1,0
6,9,1,31.62388888888889,PR,pato bragado,SP,sao paulo,0,0,eletronicos,150.0,0.15,150.0,0.15,30.0,10.0,20.0,6000.0,6000.0,0-500g,15.1,15-30,21.9,1,0
1,9,0,21.606493055555557,RJ,rio de janeiro,SP,ibitinga,0,0,cama_mesa_banho,550.0,0.55,550.0,0.55,51.0,4.0,41.0,8364.0,8364.0,500g-1kg,16.11,15-30,39.0,1,0
4,19,0,33.17037037037037,BA,canavieiras,SP,sao paulo,0,0,ferramentas_jardim,1500.0,1.5,1500.0,1.5,27.0,6.0,23.0,3726.0,3726.0,1-5kg,20.8,15-30,49.75,1,0
3,22,0,42.072106481481484,AL,campo alegre,MG,itauna,0,0,informatica_acessorios,3407.0,3.407,3407.0,3.407,28.0,22.0,23.0,14168.0,14168.0,1-5kg,44.29,30-60,809.1,1,1
1,19,0,23.200034722222224,SP,cunha,SP,sao paulo,1,0,cool_stuff,1200.0,1.2,1200.0,1.2,42.0,25.0,15.0,15750.0,15750.0,1-5kg,13.72,0-15,99.99,1,0
1,6,0,35.72189814814815,MG,monte siao,PR,curitiba,0,0,moveis_decoracao,750.0,0.75,750.0,0.75,69.0,11.0,11.0,8349.0,8349.0,500g-1kg,19.95,15-30,59.9,1,0
2,0,0,32.97306712962963,BA,salvador,DF,brasilia,0,0,eletronicos,150.0,0.15,450.0,0.45,22.0,13.0,15.0,4290.0,12870.0,0-500g,52.89,30-60,74.67,3,0
2,11,0,12.51445601851852,SP,cubatao,SP,guarulhos,1,0,construcao_ferramentas_construcao,418.0,0.418,418.0,0.418,19.0,6.0,13.0,1482.0,1482.0,0-500g,8.54,0-15,54.0,1,0
0,17,0,31.261886574074072,SP,santa salete,SP,sao jose dos campos,1,0,informatica_acessorios,207.0,0.207,207.0,0.207,17.0,12.0,13.0,2652.0,2652.0,0-500g,13.01,0-15,81.99,1,0
4,19,0,19.194930555555555,SP,sao paulo,SP,ibitinga,1,0,cama_mesa_banho,1550.0,1.55,1550.0,1.55,44.0,14.0,34.0,20944.0,20944.0,1-5kg,13.71,0-15,99.0,1,1
6,17,1,9.277962962962963,SP,sao paulo,SP,sao paulo,1,1,beleza_saude,150.0,0.15,300.0,0.3,43.0,13.0,14.0,7826.0,15652.0,0-500g,15.56,15-30,37.98,2,1
2,23,0,32.028078703703706,BA,itapicuru,SP,piracicaba,0,0,pet_shop,300.0,0.3,300.0,0.3,16.0,16.0,16.0,4096.0,4096.0,0-500g,16.79,15-30,38.33,1,0
5,13,1,50.44586805555556,MG,santos dumont,SP,ibitinga,0,0,cama_mesa_banho,950.0,0.95,950.0,0.95,45.0,15.0,35.0,23625.0,23625.0,500g-1kg,18.0,15-30,69.9,1,0
5,11,1,24.508599537037036,MS,campo grande,PR,maringa,0,0,informatica_acessorios,850.0,0.85,850.0,0.85,31.0,11.0,11.0,3751.0,3751.0,500g-1kg,18.21,15-30,195.0,1,0
5,10,1,16.562928240740742,MG,coromandel,MG,belo horizonte,1,0,beleza_saude,1614.0,1.614,1614.0,1.614,31.0,16.0,28.0,13888.0,13888.0,1-5kg,15.2,15-30,35.9,1,0
1,9,0,23.602210648148148,PR,guaratuba,SP,santo andre,0,0,moveis_decoracao,2850.0,2.85,2850.0,2.85,40.0,5.0,44.0,8800.0,8800.0,1-5kg,21.05,15-30,79.5,1,0
1,2,0,21.885208333333335,RJ,volta redonda,SP,sao paulo,0,0,moveis_decoracao,700.0,0.7,700.0,0.7,26.0,8.0,22.0,4576.0,4576.0,500g-1kg,15.1,15-30,29.99,1,0
6,12,1,21.49068287037037,SP,araraquara,SP,sao paulo,1,0,audio,588.0,0.588,588.0,0.588,19.0,14.0,17.0,4522.0,4522.0,500g-1kg,13.21,0-15,109.9,1,0
5,16,1,25.304236111111113,SP,sao bernardo do campo,PR,curitiba,0,0,esporte_lazer,450.0,0.45,450.0,0.45,36.0,18.0,18.0,11664.0,11664.0,0-500g,16.49,15-30,74.9,1,0
1,16,0,20.31556712962963,MG,governador valadares,SP,sao paulo,0,0,livros_tecnicos,300.0,0.3,300.0,0.3,23.0,2.0,16.0,736.0,736.0,0-500g,18.23,15-30,14.95,1,0
1,21,0,27.093125,CE,fortaleza,SP,novo horizonte,0,0,bebes,8250.0,8.25,8250.0,8.25,44.0,32.0,35.0,49280.0,49280.0,5-10kg,43.11,30-60,149.9,1,0
2,17,0,25.25542824074074,MG,belo horizonte,SP,sao paulo,0,0,informatica_acessorios,300.0,0.3,300.0,0.3,16.0,6.0,17.0,1632.0,1632.0,0-500g,14.1,0-15,19.99,1,0
6,9,1,25.612511574074073,CE,amanari,SP,sao paulo,0,0,esporte_lazer,2100.0,2.1,2100.0,2.1,36.0,9.0,14.0,4536.0,4536.0,1-5kg,29.39,15-30,390.0,1,0
1,17,0,26.25945601851852,DF,brasilia,RS,porto alegre,0,0,informatica_acessorios,200.0,0.2,200.0,0.2,16.0,15.0,15.0,3600.0,3600.0,0-500g,21.75,15-30,135.0,1,0
3,21,0,28.112465277777776,RS,porto alegre,SP,cananeia,0,0,telefonia,260.0,0.26,260.0,0.26,19.0,7.0,13.0,1729.0,1729.0,0-500g,16.43,15-30,104.0,1,0
4,21,0,34.11775462962963,SP,sao paulo,RS,montenegro,0,0,cool_stuff,1000.0,1.0,1000.0,1.0,33.0,44.0,19.0,27588.0,27588.0,500g-1kg,15.8,15-30,149.0,1,0
4,23,0,19.034375,SP,sao paulo,SP,franca,1,0,telefonia,300.0,0.3,300.0,0.3,18.0,10.0,13.0,2340.0,2340.0,0-500g,13.46,0-15,279.9,1,0
1,11,0,36.508784722222224,PR,cambe,MG,tiradentes,0,0,moveis_decoracao,2750.0,2.75,2750.0,2.75,70.0,5.0,15.0,5250.0,5250.0,1-5kg,23.22,15-30,44.9,1,0
0,17,0,21.273611111111112,PE,recife,SP,sao paulo,0,0,telefonia,300.0,0.3,300.0,0.3,17.0,4.0,12.0,816.0,816.0,0-500g,19.18,15-30,37.99,1,0
2,14,0,26.37527777777778,RS,canoas,SP,sao paulo,0,0,construcao_ferramentas_iluminacao,1400.0,1.4,1400.0,1.4,24.0,15.0,38.0,13680.0,13680.0,1-5kg,15.31,15-30,29.99,1,0
0,13,0,28.427847222222223,MG,manhuacu,SP,santo andre,0,0,perfumaria,475.0,0.475,475.0,0.475,20.0,9.0,14.0,2520.0,2520.0,0-500g,15.59,15-30,120.0,1,0
5,0,1,8.993287037037037,SP,guarulhos,SP,salto,1,0,beleza_saude,9900.0,9.9,9900.0,9.9,30.0,39.0,38.0,44460.0,44460.0,5-10kg,21.62,15-30,492.75,1,0
2,11,0,19.500625,PR,umuarama,SP,sao paulo,0,0,brinquedos,50.0,0.05,50.0,0.05,25.0,11.0,15.0,4125.0,4125.0,0-500g,18.54,15-30,94.9,1,0
6,18,1,24.217731481481483,SC,sao bento do sul,SP,presidente prudente,0,0,moveis_decoracao,2500.0,2.5,2500.0,2.5,60.0,12.0,20.0,14400.0,14400.0,1-5kg,21.11,15-30,88.34,1,0
1,21,0,21.0865625,MG,ituiutaba,SP,sao paulo,0,0,cool_stuff,2050.0,2.05,2050.0,2.05,40.0,40.0,30.0,48000.0,48000.0,1-5kg,65.56,60-100,199.99,1,0
6,10,1,25.566157407407406,SP,sao paulo,RS,carazinho,0,0,papelaria,700.0,0.7,700.0,0.7,20.0,50.0,40.0,40000.0,40000.0,500g-1kg,19.67,15-30,99.9,1,0
0,16,0,10.293206018518518,SP,sao paulo,SP,guarulhos,1,0,utilidades_domesticas,950.0,0.95,1900.0,1.9,25.0,10.0,36.0,9000.0,18000.0,500g-1kg,17.8,15-30,156.0,2,0
6,19,1,18.197141203703705,PR,pinhais,SP,campinas,0,0,perfumaria,429.0,0.429,429.0,0.429,20.0,12.0,14.0,3360.0,3360.0,0-500g,14.84,0-15,155.0,1,0
0,16,0,22.297372685185184,SP,sao paulo,PR,curitiba,0,0,moveis_decoracao,7850.0,7.85,7850.0,7.85,52.0,18.0,35.0,32760.0,32760.0,5-10kg,34.23,30-60,249.9,1,0
4,9,0,31.611689814814813,RS,porto alegre,MG,araguari,0,0,consoles_games,325.0,0.325,650.0,0.65,23.0,7.0,18.0,2898.0,6482.0,0-500g,39.73,30-60,53.89,2,0
4,20,0,20.164560185185184,RJ,rio de janeiro,MG,araguari,0,0,utilidades_domesticas,1000.0,1.0,1000.0,1.0,40.0,28.0,28.0,31360.0,31360.0,500g-1kg,17.67,15-30,60.6,1,1
6,16,1,25.29690972222222,MG,belo horizonte,SP,itatiba,0,0,bebes,23250.0,23.25,23250.0,23.25,23.0,50.0,84.0,96600.0,96600.0,10kg+,67.24,60-100,225.0,1,0
1,1,0,19.948402777777776,PR,toledo,SP,guarulhos,0,0,industria_comercio_e_negocios,3950.0,3.95,3950.0,3.95,16.0,103.0,25.0,41200.0,41200.0,1-5kg,34.07,30-60,76.0,1,1
5,18,1,37.213125,RJ,rio de janeiro,SP,ipaussu,0,0,utilidades_domesticas,3150.0,3.15,3150.0,3.15,43.0,27.0,27.0,31347.0,31347.0,1-5kg,27.19,15-30,159.0,1,1
3,19,0,19.205,MG,diamantina,MG,borda da mata,1,0,malas_acessorios,1300.0,1.3,2600.0,2.6,33.0,10.0,49.0,16170.0,32340.0,1-5kg,28.9,15-30,205.8,2,0
0,21,0,24.107372685185187,ES,vila velha,SP,andradas,0,0,brinquedos,300.0,0.3,300.0,0.3,25.0,16.0,16.0,6400.0,6400.0,0-500g,16.89,15-30,63.9,1,1
2,21,0,32.09206018518518,RJ,rio de janeiro,RJ,rio de janeiro,1,1,pet_shop,127.0,0.127,127.0,0.127,18.0,10.0,14.0,2520.0,2520.0,0-500g,8.21,0-15,168.8,1,0
0,17,0,14.264247685185186,SP,sao paulo,SP,votorantim,1,0,cama_mesa_banho,700.0,0.7,1400.0,1.4,37.5,5.0,24.5,4593.75,9200.0,500g-1kg,19.88,15-30,119.8,2,0
6,11,1,30.52202546296296,BA,medeiros neto,SP,votorantim,0,0,ferramentas_jardim,1600.0,1.6,1600.0,1.6,18.0,22.0,17.0,6732.0,6732.0,1-5kg,28.58,15-30,232.75,1,0
0,11,0,21.536967592592593,SP,mogi-guacu,RJ,rio de janeiro,0,0,beleza_saude,870.0,0.87,870.0,0.87,19.0,17.0,15.0,4845.0,4845.0,500g-1kg,18.44,15-30,48.9,1,0
3,0,0,19.960150462962964,SP,sao paulo,SP,ibitinga,1,0,cama_mesa_banho,1300.0,1.3,1300.0,1.3,45.0,15.0,35.0,23625.0,23625.0,1-5kg,12.11,0-15,87.0,1,0
4,1,0,39.95234953703704,SP,campinas,MG,congonhal,0,0,cool_stuff,2275.0,2.275,2275.0,2.275,45.0,25.0,18.0,20250.0,20250.0,1-5kg,18.54,15-30,131.9,1,0
2,2,0,19.88445601851852,SP,sao paulo,RJ,rio de janeiro,0,0,moveis_decoracao,100.0,0.1,100.0,0.1,16.0,3.0,11.0,528.0,528.0,0-500g,14.1,0-15,19.9,1,0
3,14,0,31.375706018518517,SP,bauru,SP,itaquaquecetuba,1,0,moveis_escritorio,15475.0,15.475,15475.0,15.475,81.0,7.0,83.0,47061.0,47061.0,10kg+,66.04,60-100,136.99,1,0
4,0,0,18.996655092592594,MG,belo horizonte,RJ,rio de janeiro,0,0,brinquedos,8100.0,8.1,8100.0,8.1,30.0,36.0,46.0,49680.0,49680.0,5-10kg,23.64,15-30,399.99,1,0
4,19,0,23.180717592592593,SP,sao paulo,SP,ribeirao preto,1,0,esporte_lazer,183.0,0.183,183.0,0.183,16.0,18.0,16.0,4608.0,4608.0,0-500g,11.85,0-15,41.0,1,1
2,14,0,36.40909722222222,RJ,rio de janeiro,SP,guaruja,0,0,perfumaria,250.0,0.25,500.0,0.5,16.0,10.0,11.0,1760.0,3520.0,0-500g,37.16,30-60,138.0,2,0
4,10,0,27.55726851851852,AL,maceio,PR,curitiba,0,0,esporte_lazer,1092.0,1.092,1092.0,1.092,30.0,26.0,22.0,17160.0,17160.0,1-5kg,33.33,30-60,169.9,1,0
6,12,1,9.46400462962963,DF,brasilia,GO,goiania,0,0,utilidades_domesticas,700.0,0.7,700.0,0.7,28.0,19.0,26.0,13832.0,13832.0,500g-1kg,15.28,15-30,119.0,1,0
4,14,0,11.38019675925926,MS,campo grande,SP,sao paulo,0,0,construcao_ferramentas_construcao,350.0,0.35,350.0,0.35,16.0,61.0,16.0,15616.0,15616.0,0-500g,18.08,15-30,39.9,1,1
4,19,0,4.185011574074074,SP,sao paulo,SP,pedreira,1,0,utilidades_domesticas,1800.0,1.8,1800.0,1.8,30.0,30.0,30.0,27000.0,27000.0,1-5kg,12.9,0-15,85.0,1,0
5,17,1,11.256597222222222,SP,barueri,SP,sao jose dos campos,1,0,informatica_acessorios,710.0,0.71,710.0,0.71,33.0,14.0,15.0,6930.0,6930.0,500g-1kg,8.89,0-15,220.0,1,0
4,19,0,30.178356481481483,MA,imperatriz,SP,guariba,0,0,relogios_presentes,533.0,0.533,533.0,0.533,20.0,8.0,11.0,1760.0,1760.0,500g-1kg,35.74,30-60,277.0,1,1
6,19,1,16.17846064814815,SP,sao paulo,MA,sao luis,0,0,beleza_saude,350.0,0.35,350.0,0.35,19.0,12.0,13.0,2964.0,2964.0,0-500g,27.75,15-30,66.99,1,0
5,9,1,26.62302083333333,MA,vitoria do mearim,SP,sao paulo,0,0,telefonia,217.0,0.217,217.0,0.217,18.0,4.0,13.0,936.0,936.0,0-500g,50.85,30-60,14.0,1,0
2,16,0,28.292083333333334,RJ,rio de janeiro,PR,maringa,0,0,informatica_acessorios,173.0,0.173,346.0,0.346,18.0,13.0,12.0,2808.0,5616.0,0-500g,34.06,30-60,170.0,2,1
1,13,0,15.453645833333333,SP,ribeirao pires,SP,barueri,1,0,relogios_presentes,500.0,0.5,500.0,0.5,20.0,11.0,15.0,3300.0,3300.0,0-500g,9.8,0-15,229.0,1,0
0,22,0,16.05670138888889,SP,sao paulo,SP,ribeirao preto,1,0,relogios_presentes,584.0,0.584,584.0,0.584,16.0,11.0,13.0,2288.0,2288.0,500g-1kg,0.0,0-15,99.9,1,0
0,23,0,29.006539351851853,BA,salvador,PR,maringa,0,0,informatica_acessorios,321.0,0.321,321.0,0.321,19.0,14.0,13.0,3458.0,3458.0,0-500g,34.39,30-60,84.9,1,0
6,13,1,35.448680555555555,CE,fortaleza,SP,sao paulo,0,0,moveis_decoracao,2850.0,2.85,2850.0,2.85,50.0,50.0,16.0,40000.0,40000.0,1-5kg,33.91,30-60,189.0,1,0
1,20,0,15.136770833333333,SP,osasco,SP,sao paulo,1,0,relogios_presentes,200.0,0.2,200.0,0.2,16.0,2.0,11.0,352.0,352.0,0-500g,7.78,0-15,49.0,1,0
2,6,0,25.71869212962963,GO,aguas lindas de goias,SP,sao paulo,0,0,utilidades_domesticas,525.0,0.525,525.0,0.525,18.0,19.0,16.0,5472.0,5472.0,500g-1kg,15.37,15-30,37.9,1,0
4,16,0,24.292256944444443,SP,sao paulo,RS,porto alegre,0,0,eletronicos,100.0,0.1,100.0,0.1,16.0,16.0,16.0,4096.0,4096.0,0-500g,16.14,15-30,179.93,1,0
3,16,0,19.323888888888888,SP,sao jose dos campos,SP,ribeirao preto,1,0,beleza_saude,1350.0,1.35,1350.0,1.35,27.0,9.0,18.0,4374.0,4374.0,1-5kg,13.84,0-15,116.9,1,0
6,11,1,23.525243055555556,MG,nova serrana,MG,ponte nova,1,0,automotivo,1600.0,1.6,1600.0,1.6,30.0,30.0,30.0,27000.0,27000.0,1-5kg,15.51,15-30,94.9,1,0
1,19,0,30.192858796296296,MG,nova lima,SP,carapicuiba,0,0,consoles_games,150.0,0.15,150.0,0.15,20.0,3.0,18.0,1080.0,1080.0,0-500g,15.73,15-30,121.99,1,0
1,15,0,14.358298611111111,SP,sao paulo,SP,sao paulo,1,1,unknown,200.0,0.2,200.0,0.2,16.0,5.0,12.0,960.0,960.0,0-500g,7.78,0-15,7.79,1,0
3,22,0,28.082824074074075,DF,brasilia,SP,itaquaquecetuba,0,0,moveis_decoracao,28600.0,28.6,28600.0,28.6,41.0,43.0,91.0,160433.0,160433.0,10kg+,85.97,60-100,179.99,1,0
0,16,0,24.320752314814815,MG,juiz de fora,MG,juiz de fora,1,1,unknown,700.0,0.7,700.0,0.7,35.0,14.0,11.0,5390.0,5390.0,500g-1kg,10.96,0-15,7.6,1,0
5,12,1,32.476782407407406,RJ,rio de janeiro,SP,sao jose do rio preto,0,0,ferramentas_jardim,1750.0,1.75,1750.0,1.75,37.0,22.0,40.0,32560.0,32560.0,1-5kg,17.6,15-30,49.9,1,0
2,20,0,14.14275462962963,SP,sao paulo,SP,hortolandia,1,0,beleza_saude,150.0,0.15,150.0,0.15,22.0,3.0,15.0,990.0,990.0,0-500g,8.03,0-15,110.32,1,0
0,20,0,24.138715277777777,SP,santa fe do sul,SP,santos,1,0,telefonia,250.0,0.25,250.0,0.25,18.0,3.0,28.0,1512.0,1512.0,0-500g,11.85,0-15,49.0,1,0
2,18,0,49.228935185185186,PA,belem,RJ,petropolis,0,0,perfumaria,367.0,0.367,367.0,0.367,21.0,15.0,18.0,5670.0,5670.0,0-500g,61.18,60-100,159.9,1,0
2,6,0,25.720381944444444,SP,matao,SP,campo limpo paulista,1,0,papelaria,7700.0,7.7,7700.0,7.7,28.0,55.0,37.0,56980.0,56980.0,5-10kg,27.39,15-30,120.0,1,0
2,15,0,12.35224537037037,RJ,rio de janeiro,RJ,rio de janeiro,1,1,esporte_lazer,1338.0,1.338,1338.0,1.338,23.0,12.0,14.0,3864.0,3864.0,1-5kg,11.98,0-15,21.5,1,0
1,12,0,21.488541666666666,MS,corumba,SP,guarulhos,0,0,unknown,400.0,0.4,400.0,0.4,20.0,12.0,15.0,3600.0,3600.0,0-500g,15.61,15-30,122.99,1,1
5,13,1,30.41880787037037,BA,bom jesus da lapa,SP,sao paulo,0,0,cool_stuff,1000.0,1.0,1000.0,1.0,42.0,25.0,15.0,15750.0,15750.0,500g-1kg,19.75,15-30,72.99,1,0
6,9,1,21.59292824074074,SP,ourinhos,SP,sao paulo,1,0,cool_stuff,1600.0,1.6,1600.0,1.6,42.0,25.0,15.0,15750.0,15750.0,1-5kg,13.93,0-15,129.99,1,0
0,18,0,28.23204861111111,RJ,porto real,SP,ibitinga,0,0,cama_mesa_banho,1550.0,1.55,3100.0,3.1,44.0,14.0,34.0,20944.0,41888.0,1-5kg,35.78,30-60,184.0,2,0
1,22,0,7.08074074074074,SP,ferraz de vasconcelos,SP,sao paulo,1,0,alimentos,388.0,0.388,1552.0,1.552,16.0,16.0,14.0,3584.0,14336.0,0-500g,33.6,30-60,135.56,4,1
0,21,0,22.091851851851853,RJ,rio de janeiro,MG,ilicinea,0,0,informatica_acessorios,6550.0,6.55,6550.0,6.55,20.0,20.0,20.0,8000.0,8000.0,5-10kg,40.37,30-60,149.0,1,0
3,17,0,32.287847222222226,MT,sinop,SP,limeira,0,0,unknown,200.0,0.2,200.0,0.2,16.0,2.0,11.0,352.0,352.0,0-500g,16.79,15-30,20.3,1,0
3,20,0,24.125416666666666,MG,belo horizonte,SP,campinas,0,0,perfumaria,450.0,0.45,900.0,0.9,23.0,8.0,15.0,2760.0,5520.0,0-500g,30.02,30-60,359.8,2,0
6,19,1,18.200520833333332,SP,sao paulo,SP,franca,1,0,telefonia,325.0,0.325,325.0,0.325,18.0,25.0,21.0,9450.0,9450.0,0-500g,12.27,0-15,109.9,1,0
4,16,0,41.33166666666666,PA,ipixuna do para,SP,jacarei,0,0,telefonia,88.0,0.088,88.0,0.088,16.0,7.0,12.0,1344.0,1344.0,0-500g,25.9,15-30,89.0,1,0
1,18,0,15.24925925925926,SP,praia grande,SP,sao paulo,1,0,beleza_saude,3500.0,3.5,3500.0,3.5,36.0,25.0,21.0,18900.0,18900.0,1-5kg,13.75,0-15,120.0,1,0
4,18,0,25.25,MG,sete lagoas,SP,sao paulo,0,0,relogios_presentes,250.0,0.25,250.0,0.25,16.0,2.0,11.0,352.0,352.0,0-500g,14.28,0-15,75.0,1,0
